projectile_id,kind_or_group,update_helper,common_variants,pattern_usage,notes
0x00,common,FUN_14006c620,"0","single aimed/microburst; also 15-shot final burst windows","Frequently used as basic aimed shot in common/final emitters."
0x01,common,FUN_14006c620,"0","single aimed jitter bursts","Observed in stage07 lane sweeper helper."
0x02,common,FUN_14006c620,"0,0x1f,0x17,0x37","large scripted spreads/rings","Often appears in dense boss/final scripts; variant values likely encode subpattern/owner."
0x03,common,FUN_14006c620 / FUN_14006ce40 child emissions,"0,1,7,0x20,0x21,0x22","aimed and alternating volleys","Most common projectile id; emitted by both enemies and projectile-child scripts."
0x04,common,FUN_14006c620,"0,0xf,7,10","straight/fan projectile; child from homing IDs","Very common centered fans and child projectiles."
0x05,common,FUN_14006c620,"0,1","aimed/fan shots","Used in stage04/07 anchor and boss-like patterns."
0x06,common,FUN_14006c620,"0","single/spread shots","Less frequent first-pass call sites."
0x07,common,FUN_14006c620,"0,1,2","fast aimed/paired shots","Common enemy shot id; many difficulty-scaled extra shots."
0x08,bounce-like,FUN_14006faa0,"0,2,3","forward shot / reflected boundary behavior","Update helper reflects on boundary by spawning a replacement projectile and killing original."
0x09,common delayed retarget,FUN_14006c620,"0","curving/retargeting shots and spreads","Used by stage04/05/final curving emitters."
0x0a,common,FUN_14006c620,"0,2","heavy pattern shots","Used by composite/late helpers and stage07 heavy emitter."
0x0b,common delayed retarget,FUN_14006c620,"0,1,2","paired/retargeting shots","Stage05/07/final patterns; often paired from left/right offsets."
0x0c,homing/steering,FUN_14006ecf0,"0,1,3","aimed center spreads; child emission id 4/0xf","Steering family; `FUN_14006ecf0` adjusts angle toward player and emits child projectiles in some phases."
0x0d,common delayed/accelerating,FUN_14006c620,"0,1,2,3,4,0xb","fan burst / final patterns","Very frequent in final/special patterns; many speed-offset variants."
0x0e,homing/steering,FUN_14006ecf0,"0","steering projectile","Grouped with `0x0c` in homing/steering update helper."
0x0f,common,FUN_14006c620,"0","straight special shot","Less frequent; separate from variant `0x0f` used by id 4 child emissions."
0x10,common,FUN_14006c620,"0","straight/special shot","Observed in grouped dispatch only; few direct calls."
0x11,common,FUN_14006c620,"0,0xc","special shot","Rare direct calls."
0x12,common,FUN_14006c620,"0,0xe","special shot","Observed in late helper."
0x13,unknown,unknown in first-pass call table,"0","rare special projectile","Appears in call-site constants but dispatcher excerpt routes default unless another export clarifies."
0x17..0x1e,complex scripted,FUN_14006ce40,"various","scripted projectiles that emit child shots/effects","Grouped by update dispatcher; `0x18/0x19` emit id `0x0c/0x0d` child volleys."
0x1f..0x20,special pair,FUN_14006fcd0,"various","mirrored orbit/arc pair","Computes position around an anchor through FUN_140133f30; after ~40 frames the anchor drifts/aims toward player; 0x1f/0x20 rotate opposite directions."
0x21..0x22,complex scripted,FUN_14006ce40,"various","scripted pattern family","Not yet deeply reviewed."
0x23..0x27,homing/steering,FUN_14006ecf0,"various","steering pattern family","Grouped with id `0x0c/0x0e` homing update helper."
0x28..0x2b,complex scripted,FUN_14006ce40,"various","scripted pattern family","Not yet deeply reviewed."
0x2c..0x2d,homing/steering,FUN_14006ecf0,"various","steering pattern family","Not yet deeply reviewed."
0x2e..0x34,complex scripted,FUN_14006ce40,"various","scripted pattern family","Not yet deeply reviewed."
0x35..0x36,homing/steering,FUN_14006ecf0,"0x35,0x36","steering/special pattern","IDs also overlap with visual effect types in separate effect list; context matters."
0x37..0x39,complex scripted,FUN_14006ce40,"various","scripted pattern family","Not yet deeply reviewed."
0x3a..0x3b,special pair,FUN_14006ffc0,"various","mirrored expanding spiral/whip pair","Eases in a radius, moves a central point, rotates heading by ±0x1bc each frame, and draws at an offset from the center."
0x3c,complex scripted,FUN_14006ce40,"various","scripted pattern family","Not yet deeply reviewed."
