spawn_type,semantic_label,update_helper,projectile_pair,bullet_visual,movement_behavior,call_evidence,stage_pattern_interpretation,confidence
0x3f,stage04_boss_like_multipart_pattern_controller,FUN_140095130,"selector=0x07 id=0x00","frame 7 blue horizontal capsule / bar","basic movement id 0","FUN_14006c2f0(7,0,...) at lines 258/269/280/298/309/320","alternating four-mount volleys use the blue bar selector",High
0x3f,stage04_boss_like_multipart_pattern_controller,FUN_140095130,"selector=0x04 id=0x00","frame 4 magenta small round / bead","basic movement id 0","FUN_14006c2f0(4,0,...) at lines 399/413/435","saved-aim jitter windows use the magenta bead selector",High
0x3f,stage04_boss_like_multipart_pattern_controller,FUN_140095130,"selector=0x02 id=0x00","frame 2 magenta large round / orb","basic movement id 0","FUN_1400709b0(2,uVar2,...) at line 487 where guarded modulo uVar2 is zero","half-circle fans use the magenta large-orb selector",High
0x4f,stage05_boss_like_multi_phase_summoner,FUN_14009b5f0,"id=0x0a selector=0x02","frame 2 magenta large orb","common/heavy pattern shot","FUN_1400709b0(10,2,...) at lines 222/235","first active fan family uses large magenta orbs; high difficulty adds faster duplicate fans",High
0x4f,stage05_boss_like_multi_phase_summoner,FUN_14009b5f0,"id=0x0b selector=0x02","frame 2 magenta large orb","delayed-retarget paired shot","FUN_1400709b0(0xb,2,...) at lines 257/267","second fan family switches movement behavior to id=0xb while keeping large magenta orb visual",High
0x4f,stage05_boss_like_multi_phase_summoner,FUN_14009b5f0,"id=0x03 selector=0x1c","draw-helper default frame 0 unless arg2 is rewritten","common projectile / scripted child with selector-overflow arg2","FUN_14006c2f0(3,0x1c,...) at line 365","late direct volleys likely use arg2 as subpattern/phase more than explicit Bullet.png selector",Medium
0x76,stage07_heavy_multipart_pattern_emitter,FUN_1400a5dd0,"id=0x0a selector=0x00","frame 0 magenta thin oval / small pellet","common/heavy pattern shot","FUN_14006c2f0(10,0,...) at lines 238/270/282","opening/early heavy emitter direct shots are default magenta pellets",High
0x76,stage07_heavy_multipart_pattern_emitter,FUN_1400a5dd0,"id=0x07 selector=0x00","frame 0 magenta thin oval / small pellet","common fast aimed/paired shot","FUN_1400709b0(7,0,...) at lines 367/377","offset-point spread families render as default pellets",High
0x76,stage07_heavy_multipart_pattern_emitter,FUN_1400a5dd0,"id=0x0f selector=0x00 or dynamic","frame 0 magenta thin oval / small pellet for selector 0; dynamic selector unresolved","timed/common special projectile","FUN_1400709b0(0xf,dynamic,...) and FUN_1400709b0(0xf,0,...) at lines 394/404","secondary spread family mostly default-pellet unless dynamic arg2 falls into visual selector range",Medium
0x76,stage07_heavy_multipart_pattern_emitter,FUN_1400a5dd0,"id=0x02 selector=0x07","frame 7 blue horizontal capsule / bar","scripted spread/ring projectile","FUN_1400709b0(2,7,...) at lines 486/494","distinct late/heavy spread uses blue capsule/bar visual, separating it from default-pellet volleys",High
0x77,stage07_boss_like_pattern_controller,FUN_1400a7760,"id=0x04 selector=0x00 or cadence-derived dynamic","frame 0 magenta thin oval / small pellet for selector 0; dynamic selector unresolved","common straight/fan child projectile","FUN_1400709b0(4,dynamic,...) and FUN_1400709b0(4,0,...) at lines 228/240","boss controller emits id=4 spread families; one fixed default and one cadence-derived visual/variant",Medium
0x77,stage07_boss_like_pattern_controller,FUN_1400a7760,"id=0x0c selector=0x00 or dynamic","frame 0 magenta thin oval / small pellet for selector 0; dynamic selector unresolved","homing/steering projectile","FUN_1400709b0(0xc,dynamic,...) and FUN_1400709b0(0xc,0,...) at lines 318/327","center/aimed spread family uses homing id=0xc; fixed path defaults to magenta pellet",Medium
0xfd,final_stage_spinning_fan_burster,FUN_1400b0b70,"id=0x0d selector=0x00","frame 0 magenta thin oval / small pellet","common delayed/accelerating fan projectile","FUN_1400709b0(0xd,0,...) at line 163","ramping 60-frame fan burst is visually default magenta pellets; complexity comes from count/spread ramp not sprite change",High
0x102,final_stage_large_multi_part_carrier_emitter,FUN_1400b2760,"id=0x0d selector=0x00","frame 0 magenta thin oval / small pellet","common delayed/accelerating projectile","FUN_14006c2f0(0xd,0,...) at line 171","repeated aimed/random shots use default magenta pellet",High
0x102,final_stage_large_multi_part_carrier_emitter,FUN_1400b2760,"id=0x00 selector=0x00","frame 0 magenta thin oval / small pellet","basic aimed shot","FUN_14006c2f0(0,0,...) at line 231","later 15-shot burst windows also default magenta pellets",High
0x103/0x104,final_stage_large_rotating_orbit_burst_emitter_pair,FUN_1400b3540,"id=0x04 selector=0x34","draw-helper default frame 0 unless arg2 is rewritten","common straight/fan child projectile with selector-overflow arg2","FUN_14006c2f0(4,0x34,...) at line 200","four-offset orbit burst likely uses arg2=0x34 as subpattern/owner/phase and still draws default pellet",Medium
